Date,Primary Type,Location Description,Arrest,Year,Month
2017-06-06,Fraud,Gas Station,False,2017,6
2016-06-22,Vandalism,Bank,False,2016,6
2016-01-25,Drug Possession,School,False,2016,1
2021-06-20,Burglary,Highway,False,2021,6
2024-09-19,Drug Possession,Bar,False,2024,9
2022-03-18,Fraud,Apartment,True,2022,3
2024-08-07,Theft,Bank,False,2024,8
2024-03-30,Vandalism,Gas Station,True,2024,3
2023-12-18,Drug Possession,School,True,2023,12
2021-10-21,Theft,School,False,2021,10
2024-02-12,Theft,Apartment,False,2024,2
2020-02-25,Assault,Mall,True,2020,2
2023-04-01,Robbery,Gas Station,True,2023,4
2024-07-31,Arson,Apartment,False,2024,7
2022-04-08,Theft,Highway,False,2022,4
2019-10-25,Homicide,Home,False,2019,10
2023-10-25,Burglary,Park,False,2023,10
2019-12-10,Robbery,School,True,2019,12
2021-12-18,Burglary,Mall,False,2021,12
2016-03-07,Vandalism,Bank,True,2016,3
2022-03-07,Assault,Park,False,2022,3
2016-05-21,Robbery,Park,False,2016,5
2021-06-29,Theft,Street,False,2021,6
2021-01-29,Theft,Bank,False,2021,1
2015-07-05,Drug Possession,School,True,2015,7
2020-03-29,Homicide,Apartment,True,2020,3
2022-12-06,Vandalism,Street,True,2022,12
2020-05-19,Vandalism,Highway,False,2020,5
2024-09-30,Assault,Mall,False,2024,9
2022-04-14,Burglary,Bar,True,2022,4
2018-12-12,Theft,Gas Station,False,2018,12
2018-05-31,Theft,School,False,2018,5
2021-11-05,Vandalism,Mall,True,2021,11
2015-08-23,Theft,Street,False,2015,8
2016-09-05,Robbery,Gas Station,False,2016,9
2019-04-19,Arson,Park,False,2019,4
2015-02-17,Assault,Home,True,2015,2
2024-09-21,Theft,Gas Station,False,2024,9
2024-02-28,Homicide,School,False,2024,2
2021-03-23,Theft,Mall,False,2021,3
2018-09-06,Assault,Gas Station,True,2018,9
2017-07-21,Robbery,Mall,False,2017,7
2023-04-06,Drug Possession,Apartment,False,2023,4
2020-07-17,Robbery,Mall,True,2020,7
2023-11-13,Fraud,Bar,True,2023,11
2021-05-06,Theft,Park,False,2021,5
2021-12-14,Fraud,Highway,False,2021,12
2024-10-10,Homicide,Park,False,2024,10
2022-03-20,Robbery,Apartment,True,2022,3
2016-07-19,Burglary,Highway,False,2016,7
2022-10-08,Homicide,School,False,2022,10
2017-09-24,Vandalism,Apartment,False,2017,9
2016-03-09,Robbery,Bank,False,2016,3
2022-07-12,Assault,Street,False,2022,7
2024-11-24,Drug Possession,Bar,False,2024,11
2022-01-08,Fraud,Bank,False,2022,1
2024-12-02,Burglary,Bar,True,2024,12
2021-03-18,Vandalism,Street,True,2021,3
2022-01-13,Fraud,Street,True,2022,1
2018-08-04,Drug Possession,Mall,False,2018,8
2021-05-23,Burglary,Bar,False,2021,5
2023-02-23,Fraud,Highway,False,2023,2
2024-01-07,Fraud,Gas Station,False,2024,1
2024-11-17,Drug Possession,Apartment,False,2024,11
2021-04-29,Burglary,Apartment,False,2021,4
2023-07-14,Fraud,Home,False,2023,7
2020-04-14,Fraud,Park,True,2020,4
2021-04-03,Theft,Highway,False,2021,4
2022-05-12,Assault,Bar,True,2022,5
2020-08-19,Assault,Bar,True,2020,8
2020-07-23,Vandalism,Street,True,2020,7
2021-12-06,Robbery,School,False,2021,12
2016-05-07,Arson,Mall,True,2016,5
2017-11-25,Assault,Highway,True,2017,11
2023-02-08,Vandalism,Apartment,True,2023,2
2016-07-12,Fraud,School,True,2016,7
2020-10-31,Theft,Bank,False,2020,10
2015-01-23,Homicide,Apartment,True,2015,1
2020-11-04,Theft,Highway,False,2020,11
2022-10-05,Robbery,School,True,2022,10
2015-06-13,Burglary,Street,True,2015,6
2022-01-08,Homicide,Bank,False,2022,1
2018-08-17,Arson,Mall,False,2018,8
2020-12-01,Assault,School,True,2020,12
2018-07-20,Arson,Apartment,True,2018,7
2019-11-08,Robbery,Bank,True,2019,11
2023-08-22,Vandalism,Street,False,2023,8
2020-07-25,Fraud,Bank,False,2020,7
2020-05-15,Fraud,Gas Station,True,2020,5
2015-08-16,Fraud,Apartment,False,2015,8
2022-04-24,Arson,Apartment,False,2022,4
2019-05-23,Robbery,Park,False,2019,5
2023-10-22,Assault,Bank,False,2023,10
2021-06-12,Drug Possession,Home,True,2021,6
2020-09-15,Fraud,Bank,False,2020,9
2021-07-30,Arson,Bar,False,2021,7
2016-07-15,Theft,Gas Station,True,2016,7
2021-05-16,Robbery,Bar,True,2021,5
2020-05-22,Drug Possession,Home,True,2020,5
2017-12-26,Robbery,Apartment,False,2017,12
2020-09-18,Burglary,Bar,False,2020,9
2017-09-15,Fraud,Highway,False,2017,9
2018-08-28,Assault,Home,False,2018,8
2019-07-26,Burglary,Mall,True,2019,7
2017-04-17,Burglary,Bank,False,2017,4
2019-02-01,Homicide,Apartment,False,2019,2
2015-02-13,Fraud,Bank,False,2015,2
2015-03-27,Burglary,Gas Station,False,2015,3
2021-09-09,Vandalism,Street,False,2021,9
2022-11-21,Assault,Gas Station,False,2022,11
2018-02-18,Burglary,Highway,True,2018,2
2022-05-15,Fraud,Street,False,2022,5
2017-10-17,Theft,Home,True,2017,10
2016-01-08,Theft,Bar,False,2016,1
2020-09-15,Theft,School,True,2020,9
2018-09-21,Fraud,Gas Station,False,2018,9
2023-07-05,Arson,Park,False,2023,7
2015-03-13,Homicide,Gas Station,False,2015,3
2016-08-25,Burglary,Apartment,True,2016,8
2018-01-05,Vandalism,Highway,False,2018,1
2019-03-25,Assault,Mall,True,2019,3
2021-09-14,Assault,Bank,False,2021,9
2016-05-27,Theft,Park,False,2016,5
2016-05-06,Fraud,Park,True,2016,5
2020-10-09,Homicide,Bar,False,2020,10
2024-02-25,Drug Possession,Apartment,False,2024,2
2017-08-03,Robbery,Bank,False,2017,8
2021-12-02,Drug Possession,Bank,True,2021,12
2023-02-09,Robbery,Bar,False,2023,2
2020-02-18,Vandalism,Gas Station,True,2020,2
2015-08-05,Theft,Home,False,2015,8
2023-12-28,Drug Possession,Bank,False,2023,12
2016-02-15,Burglary,Home,False,2016,2
2024-03-12,Assault,Mall,False,2024,3
2024-03-27,Homicide,Park,False,2024,3
2020-01-25,Arson,Apartment,False,2020,1
2023-10-28,Robbery,Park,False,2023,10
2019-04-02,Burglary,Home,True,2019,4
2016-05-06,Vandalism,Bar,False,2016,5
2020-04-30,Burglary,Gas Station,False,2020,4
2024-10-07,Burglary,Street,False,2024,10
2021-09-14,Vandalism,Park,True,2021,9
2015-06-29,Burglary,Gas Station,True,2015,6
2016-02-29,Robbery,Park,False,2016,2
2015-04-04,Robbery,Home,True,2015,4
2017-05-31,Theft,Gas Station,False,2017,5
2018-02-19,Assault,Bank,False,2018,2
2022-04-29,Burglary,School,False,2022,4
2019-12-14,Homicide,Apartment,False,2019,12
2016-12-29,Assault,Mall,True,2016,12
2019-02-10,Burglary,Bar,True,2019,2
2015-05-10,Burglary,Bank,True,2015,5
2015-08-01,Homicide,Home,False,2015,8
2023-12-09,Robbery,Mall,False,2023,12
2017-09-20,Theft,Park,True,2017,9
2024-03-02,Robbery,School,False,2024,3
2020-04-10,Fraud,Bank,False,2020,4
2022-09-12,Homicide,School,False,2022,9
2023-05-21,Burglary,Mall,True,2023,5
2018-09-18,Homicide,Bar,False,2018,9
2016-04-14,Robbery,Park,False,2016,4
2020-10-11,Homicide,Home,False,2020,10
2019-04-18,Arson,Apartment,False,2019,4
2024-02-13,Vandalism,Bank,False,2024,2
2023-11-17,Theft,Park,False,2023,11
2016-11-27,Assault,Gas Station,False,2016,11
2019-06-16,Assault,Mall,True,2019,6
2023-10-11,Theft,Bank,False,2023,10
2022-11-01,Robbery,Bank,False,2022,11
2023-01-03,Theft,Mall,True,2023,1
2020-11-30,Homicide,Park,False,2020,11
2017-01-27,Drug Possession,Apartment,True,2017,1
2022-01-11,Homicide,Park,True,2022,1
2018-01-07,Homicide,Mall,False,2018,1
2024-03-19,Drug Possession,Mall,False,2024,3
2016-08-09,Theft,Mall,True,2016,8
2018-04-23,Drug Possession,Home,False,2018,4
2023-09-06,Assault,Home,False,2023,9
2020-03-30,Assault,Street,False,2020,3
2020-09-28,Burglary,Apartment,True,2020,9
2019-08-06,Homicide,Bar,False,2019,8
2021-05-07,Fraud,School,False,2021,5
2017-11-15,Robbery,School,False,2017,11
2019-02-15,Theft,Park,False,2019,2
2017-05-22,Theft,Bar,False,2017,5
2020-02-03,Assault,Street,True,2020,2
2017-08-11,Homicide,Street,False,2017,8
2024-09-20,Theft,Street,False,2024,9
2023-09-14,Assault,Bar,True,2023,9
2016-04-17,Fraud,Park,False,2016,4
2015-10-22,Homicide,Gas Station,False,2015,10
2016-05-24,Fraud,Bank,False,2016,5
2015-11-14,Vandalism,Home,False,2015,11
2021-02-09,Theft,Home,False,2021,2
2021-01-29,Burglary,Street,False,2021,1
2018-08-03,Homicide,Bar,True,2018,8
2020-05-20,Robbery,Apartment,False,2020,5
2022-09-12,Robbery,Street,False,2022,9
2018-09-06,Vandalism,Bar,True,2018,9
2016-09-27,Robbery,Park,True,2016,9
2020-02-14,Drug Possession,Home,False,2020,2
2020-08-28,Robbery,Highway,True,2020,8
2022-03-15,Burglary,Street,False,2022,3
2018-05-02,Drug Possession,Mall,False,2018,5
2020-01-14,Assault,Street,False,2020,1
2015-03-11,Homicide,Highway,True,2015,3
2016-12-04,Assault,School,True,2016,12
2020-06-20,Homicide,Mall,False,2020,6
2016-09-04,Theft,Gas Station,True,2016,9
2016-03-25,Fraud,Gas Station,False,2016,3
2017-12-23,Arson,Mall,False,2017,12
2018-08-14,Robbery,Mall,True,2018,8
2018-09-08,Homicide,School,False,2018,9
2024-08-02,Burglary,Park,False,2024,8
2015-01-05,Vandalism,Street,True,2015,1
2022-03-17,Homicide,Bank,False,2022,3
2018-04-22,Fraud,Street,True,2018,4
2018-12-30,Homicide,Park,False,2018,12
2018-09-26,Vandalism,Park,True,2018,9
2024-03-02,Theft,School,False,2024,3
2022-11-04,Homicide,Street,False,2022,11
2018-08-05,Fraud,Highway,False,2018,8
2019-01-28,Assault,Bar,False,2019,1
2023-01-11,Vandalism,Mall,False,2023,1
2016-01-27,Arson,Home,False,2016,1
2019-06-07,Robbery,Home,False,2019,6
2015-01-10,Burglary,Bank,False,2015,1
2016-04-01,Burglary,Bar,False,2016,4
2017-11-07,Vandalism,School,False,2017,11
2017-06-03,Fraud,School,False,2017,6
2017-11-16,Arson,Park,False,2017,11
2021-12-06,Drug Possession,Mall,False,2021,12
2015-07-10,Homicide,Mall,True,2015,7
2018-09-03,Fraud,Bank,False,2018,9
2018-11-21,Arson,Highway,False,2018,11
